time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2025-08-04T02:00:00-04:00,22983.25,22993.25,22981,22992.75,0,0,0,0,0,0,0,NaN,22993.25,22981,22992.75
2025-08-04T02:05:00-04:00,22993.25,22998,22985.75,22990.25,0,0,0,0,0,0,0,NaN,22998,22985.75,22990.25
2025-08-04T02:10:00-04:00,22990.25,23000.5,22983,22996.75,0,0,0,0,0,0,0,NaN,23000.5,22983,22996.75
2025-08-04T02:15:00-04:00,22997.25,22998.5,22990,22994,0,0,0,0,0,0,0,NaN,22998.5,22990,22994
2025-08-04T02:20:00-04:00,22995,22995.75,22972.5,22973,0,0,0,0,0,0,0,NaN,22995.75,22972.5,22973
2025-08-04T02:25:00-04:00,22973.5,22985,22965,22984.5,0,0,0,0,0,0,0,NaN,22985,22965,22984.5
2025-08-04T02:30:00-04:00,22984,22984,22961.25,22964,0,0,0,0,0,0,0,NaN,22984,22961.25,22964
2025-08-04T02:35:00-04:00,22963.5,22970.5,22947.5,22956,0,0,0,0,0,0,0,NaN,22970.5,22947.5,22956
2025-08-04T02:40:00-04:00,22955.75,22976.5,22950.75,22975.25,0,0,0,0,0,0,0,NaN,22976.5,22950.75,22975.25
2025-08-04T02:45:00-04:00,22976,22984.5,22967,22982.25,0,0,0,0,0,0,0,NaN,22984.5,22967,22982.25
2025-08-04T02:50:00-04:00,22981.5,22993.5,22977.75,22988.5,0,0,0,0,0,0,0,NaN,22993.5,22977.75,22988.5
2025-08-04T02:55:00-04:00,22988.25,22996.25,22981.75,22990.75,0,0,0,0,0,0,0,NaN,22996.25,22981.75,22990.75
2025-08-04T03:00:00-04:00,22991.25,22996.25,22978.25,22995.25,0,0,0,0,0,0,0,NaN,22996.25,22978.25,22995.25
2025-08-04T03:05:00-04:00,22995.25,23009.75,22989,23007.5,0,0,0,0,0,0,0,NaN,23009.75,22989,23007.5
2025-08-04T03:10:00-04:00,23007.5,23018,23000.5,23007.5,0,0,0,0,0,0,0,NaN,23018,23000.5,23007.5
2025-08-04T03:15:00-04:00,23007.5,23008.25,23000,23006.75,0,0,0,0,0,0,0,NaN,23008.25,23000,23006.75
2025-08-04T03:20:00-04:00,23006,23017,22997,23006.25,0,0,0,0,0,0,0,NaN,23017,22997,23006.25
2025-08-04T03:25:00-04:00,23006.5,23018.5,23005.75,23015.75,0,0,0,0,0,0,0,NaN,23018.5,23005.75,23015.75
2025-08-04T03:30:00-04:00,23015.25,23038,23014,23036.75,0,0,0,0,0,0,0,NaN,23038,23014,23036.75
2025-08-04T03:35:00-04:00,23036.75,23044.75,23032.5,23034.25,0,0,0,0,0,0,0,NaN,23044.75,23032.5,23034.25
2025-08-04T03:40:00-04:00,23033.75,23042.75,23030.5,23032,0,0,0,0,0,0,0,NaN,23042.75,23030.5,23032
2025-08-04T03:45:00-04:00,23032,23040.75,23024,23027.25,0,0,0,0,0,0,0,NaN,23040.75,23024,23027.25
2025-08-04T03:50:00-04:00,23027.5,23029.25,23011.25,23021,0,0,0,0,0,0,0,NaN,23029.25,23011.25,23021
2025-08-04T03:55:00-04:00,23021.5,23025,23005.75,23011.25,0,0,0,0,0,0,0,NaN,23025,23005.75,23011.25
2025-08-04T04:00:00-04:00,23011.25,23028.5,23006,23024.75,0,0,0,0,0,0,0,NaN,23028.5,23006,23024.75
2025-08-04T04:05:00-04:00,23025,23037.75,23018,23037.5,0,0,0,0,0,0,0,NaN,23037.75,23018,23037.5
2025-08-04T04:10:00-04:00,23037.5,23043.5,23024,23042.5,0,0,0,0,0,0,0,NaN,23043.5,23024,23042.5
2025-08-04T04:15:00-04:00,23042.25,23052.25,23042.25,23045.75,0,0,0,0,0,0,0,NaN,23052.25,23042.25,23045.75
2025-08-04T04:20:00-04:00,23046,23046.75,23034.25,23046.25,0,0,0,0,0,0,0,NaN,23046.75,23034.25,23046.25
2025-08-04T04:25:00-04:00,23046,23046.25,23033.5,23035.5,0,0,0,0,0,0,0,NaN,23046.25,23033.5,23035.5
2025-08-04T04:30:00-04:00,23036,23041.5,23031.25,23038.75,0,0,0,0,0,0,0,NaN,23041.5,23031.25,23038.75
2025-08-04T04:35:00-04:00,23038.75,23046.5,23034.75,23045.75,0,0,0,0,0,0,0,NaN,23046.5,23034.75,23045.75
2025-08-04T04:40:00-04:00,23046,23048.75,23041,23048.25,0,0,0,0,0,0,0,NaN,23048.75,23041,23048.25
2025-08-04T04:45:00-04:00,23048,23051.25,23043,23050,0,0,0,0,0,0,0,NaN,23051.25,23043,23050
2025-08-04T04:50:00-04:00,23050.5,23060.5,23047.75,23058.25,0,0,0,0,0,0,0,NaN,23060.5,23047.75,23058.25
2025-08-04T04:55:00-04:00,23057.5,23063.25,23053.75,23060.75,0,0,0,0,0,0,0,NaN,23063.25,23053.75,23060.75
2025-08-04T05:00:00-04:00,23060.25,23067.5,23058.5,23066.75,0,0,0,0,0,0,0,NaN,23067.5,23058.5,23066.75
2025-08-04T05:05:00-04:00,23067.25,23068.5,23056.75,23057.75,0,0,0,0,0,0,0,NaN,23068.5,23056.75,23057.75
2025-08-04T05:10:00-04:00,23058,23073,23057.75,23070.75,0,0,0,0,0,0,0,NaN,23073,23057.75,23070.75
2025-08-04T05:15:00-04:00,23071,23072.25,23063,23071.5,0,0,0,0,0,0,0,NaN,23072.25,23063,23071.5
2025-08-04T05:20:00-04:00,23070.75,23072.5,23065.5,23066.75,0,0,0,0,0,0,0,NaN,23072.5,23065.5,23066.75
2025-08-04T05:25:00-04:00,23068,23069.5,23054,23057.25,0,0,0,0,0,0,0,NaN,23069.5,23054,23057.25
2025-08-04T05:30:00-04:00,23057.5,23066.5,23057.25,23065.5,0,0,0,0,0,0,0,NaN,23066.5,23057.25,23065.5
2025-08-04T05:35:00-04:00,23066.25,23074.25,23064.25,23074,0,0,0,0,0,0,0,NaN,23074.25,23064.25,23074
2025-08-04T05:40:00-04:00,23074,23077.5,23068.5,23069,0,0,0,0,0,0,0,NaN,23077.5,23068.5,23069
2025-08-04T05:45:00-04:00,23068.25,23070.25,23056,23062,0,0,0,0,0,0,0,NaN,23070.25,23056,23062
2025-08-04T05:50:00-04:00,23061.75,23064.5,23055.75,23060.75,0,0,0,0,0,0,0,NaN,23064.5,23055.75,23060.75
2025-08-04T05:55:00-04:00,23061.25,23063.5,23054,23055.25,0,0,0,0,0,0,0,NaN,23063.5,23054,23055.25
2025-08-04T06:00:00-04:00,23055,23061.75,23052.25,23058.5,0,0,0,0,0,0,0,NaN,23061.75,23052.25,23058.5
2025-08-04T06:05:00-04:00,23058.5,23065.75,23057.5,23060.25,0,0,0,0,0,0,0,NaN,23065.75,23057.5,23060.25
2025-08-04T06:10:00-04:00,23060.25,23069,23060,23063.5,0,0,0,0,0,0,0,NaN,23069,23060,23063.5
2025-08-04T06:15:00-04:00,23063,23068.75,23058.5,23059.25,0,0,0,0,0,0,0,NaN,23068.75,23058.5,23059.25
2025-08-04T06:20:00-04:00,23059,23068.25,23058.5,23066.5,0,0,0,0,0,0,0,NaN,23068.25,23058.5,23066.5
2025-08-04T06:25:00-04:00,23066.75,23070.25,23065.25,23068.75,0,0,0,0,0,0,0,NaN,23070.25,23065.25,23068.75
2025-08-04T06:30:00-04:00,23068.75,23073.25,23064.5,23071.75,0,0,0,0,0,0,0,NaN,23073.25,23064.5,23071.75
2025-08-04T06:35:00-04:00,23071.25,23073.5,23059.5,23062.25,0,0,0,0,0,0,0,NaN,23073.5,23059.5,23062.25
2025-08-04T06:40:00-04:00,23063.25,23078,23062,23070,0,0,0,0,0,0,0,NaN,23078,23062,23070
2025-08-04T06:45:00-04:00,23069.5,23070,23062.25,23064.5,0,0,0,0,0,0,0,NaN,23070,23062.25,23064.5
2025-08-04T06:50:00-04:00,23065.25,23072.25,23058.75,23061,0,0,0,0,0,0,0,NaN,23072.25,23058.75,23061
2025-08-04T06:55:00-04:00,23061,23064,23056.25,23061.75,0,0,0,0,0,0,0,NaN,23064,23056.25,23061.75
2025-08-04T07:00:00-04:00,23062.25,23062.25,23038.75,23043,0,0,0,0,0,0,0,NaN,23062.25,23038.75,23043
2025-08-04T07:05:00-04:00,23043,23049,23032.5,23047.25,0,0,0,0,0,0,0,NaN,23049,23032.5,23047.25
2025-08-04T07:10:00-04:00,23047,23051.25,23035.75,23043,0,0,0,0,0,0,0,NaN,23051.25,23035.75,23043
2025-08-04T07:15:00-04:00,23043.5,23049.5,23038.5,23041.75,0,0,0,0,0,0,0,NaN,23049.5,23038.5,23041.75
2025-08-04T07:20:00-04:00,23041.75,23049.5,23031.5,23039.75,0,0,0,0,0,0,0,NaN,23049.5,23031.5,23039.75
2025-08-04T07:25:00-04:00,23039.75,23060.5,23039.75,23058,0,0,0,0,0,0,0,NaN,23060.5,23039.75,23058
2025-08-04T07:30:00-04:00,23058.25,23076,23057.75,23064.25,0,0,0,0,0,0,0,NaN,23076,23057.75,23064.25
2025-08-04T07:35:00-04:00,23065,23070.25,23058.75,23062,0,0,0,0,0,0,0,NaN,23070.25,23058.75,23062
2025-08-04T07:40:00-04:00,23062,23065.75,23060.75,23061.5,0,0,0,0,0,0,0,NaN,23065.75,23060.75,23061.5
2025-08-04T07:45:00-04:00,23061.25,23066.25,23054.75,23055,0,0,0,0,0,0,0,NaN,23066.25,23054.75,23055
2025-08-04T07:50:00-04:00,23055,23064.75,23053,23054,0,0,0,0,0,0,0,NaN,23064.75,23053,23054
2025-08-04T07:55:00-04:00,23053.25,23055.25,23039.5,23044.75,0,0,0,0,0,0,0,NaN,23055.25,23039.5,23044.75
2025-08-04T08:00:00-04:00,23045.5,23054.5,23045.5,23049.75,0,0,0,0,0,0,0,NaN,23054.5,23045.5,23049.75
2025-08-04T08:05:00-04:00,23049.25,23050.25,23036.75,23043.5,0,0,0,0,0,0,0,NaN,23050.25,23036.75,23043.5
2025-08-04T08:10:00-04:00,23043.75,23051.5,23042,23049,0,0,0,0,0,0,0,NaN,23051.5,23042,23049
2025-08-04T08:15:00-04:00,23048,23060.25,23044,23056,0,0,0,0,0,0,0,NaN,23060.25,23044,23056
2025-08-04T08:20:00-04:00,23056.25,23067.75,23055.25,23066.25,0,0,0,0,0,0,0,NaN,23067.75,23055.25,23066.25
2025-08-04T08:25:00-04:00,23066,23074.25,23065,23072,0,0,0,0,0,0,0,NaN,23074.25,23065,23072
2025-08-04T08:30:00-04:00,23072.5,23081.75,23071,23074.75,0,0,0,0,0,0,0,NaN,23081.75,23071,23074.75
2025-08-04T08:35:00-04:00,23074.5,23080.25,23068.75,23075.25,0,0,0,0,0,0,0,NaN,23080.25,23068.75,23075.25
2025-08-04T08:40:00-04:00,23075,23078,23064.5,23068.5,0,0,0,0,0,0,0,NaN,23078,23064.5,23068.5
2025-08-04T08:45:00-04:00,23068.75,23072,23060.5,23065.75,0,0,0,0,0,0,0,NaN,23072,23060.5,23065.75
2025-08-04T08:50:00-04:00,23066.5,23070.5,23064,23068.25,0,0,0,0,0,0,0,NaN,23070.5,23064,23068.25
2025-08-04T08:55:00-04:00,23067.75,23077.75,23067.75,23076,0,0,0,0,0,0,0,NaN,23077.75,23067.75,23076
