time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2025-09-02T12:50:00-04:00,23084.5,23110.25,23081.5,23106.25,0,0,0,0,0,0,0,NaN,23110.25,23081.5,23106.25
2025-09-02T12:55:00-04:00,23106.5,23131,23106,23126.25,0,0,0,0,0,0,0,NaN,23131,23106,23126.25
2025-09-02T13:00:00-04:00,23126.5,23140.25,23124,23134.75,0,0,0,0,0,0,0,NaN,23140.25,23124,23134.75
2025-09-02T13:05:00-04:00,23135.25,23143.5,23127.5,23130,0,0,0,0,0,0,0,NaN,23143.5,23127.5,23130
2025-09-02T13:10:00-04:00,23130.75,23132.5,23104.5,23116.25,0,0,0,0,0,0,0,NaN,23132.5,23104.5,23116.25
2025-09-02T13:15:00-04:00,23116,23128.75,23112.5,23126.25,0,0,0,0,0,0,0,NaN,23128.75,23112.5,23126.25
2025-09-02T13:20:00-04:00,23126.25,23149,23125.25,23145.25,0,0,0,0,0,0,0,NaN,23149,23125.25,23145.25
2025-09-02T13:25:00-04:00,23145,23168.5,23144.25,23161.25,0,0,0,0,0,0,0,NaN,23168.5,23144.25,23161.25
2025-09-02T13:30:00-04:00,23161,23194.5,23160.5,23191.5,0,0,0,0,0,0,0,NaN,23194.5,23160.5,23191.5
2025-09-02T13:35:00-04:00,23191.5,23212,23187,23209.75,0,0,0,0,0,0,0,NaN,23212,23187,23209.75
2025-09-02T13:40:00-04:00,23209.5,23223.5,23203,23218.75,0,0,0,0,0,0,0,NaN,23223.5,23203,23218.75
2025-09-02T13:45:00-04:00,23219,23223.5,23209.25,23219,0,0,0,0,0,0,0,NaN,23223.5,23209.25,23219
2025-09-02T13:50:00-04:00,23219.25,23225.5,23195,23196,0,0,0,0,0,0,0,NaN,23225.5,23195,23196
2025-09-02T13:55:00-04:00,23195.5,23204.5,23187.5,23189.25,0,0,0,0,0,0,0,NaN,23204.5,23187.5,23189.25
2025-09-02T14:00:00-04:00,23189,23207.5,23186.5,23198,0,0,0,0,0,0,0,NaN,23207.5,23186.5,23198
2025-09-02T14:05:00-04:00,23198,23200,23176.75,23179.25,0,0,0,0,0,0,0,NaN,23200,23176.75,23179.25
2025-09-02T14:10:00-04:00,23179.5,23190.25,23176,23180.25,0,0,0,0,0,0,0,NaN,23190.25,23176,23180.25
2025-09-02T14:15:00-04:00,23180.5,23185,23166.5,23167.5,0,0,0,0,0,0,0,NaN,23185,23166.5,23167.5
2025-09-02T14:20:00-04:00,23167.5,23188,23163.5,23178.25,0,0,0,0,0,0,0,NaN,23188,23163.5,23178.25
2025-09-02T14:25:00-04:00,23178,23182.5,23162.5,23164,0,0,0,0,0,0,0,NaN,23182.5,23162.5,23164
2025-09-02T14:30:00-04:00,23164.25,23184,23162.75,23172,0,0,0,0,0,0,0,NaN,23184,23162.75,23172
2025-09-02T14:35:00-04:00,23171.75,23173.75,23161,23170.5,0,0,0,0,0,0,0,NaN,23173.75,23161,23170.5
2025-09-02T14:40:00-04:00,23171,23172,23157.5,23168.25,0,0,0,0,0,0,0,NaN,23172,23157.5,23168.25
2025-09-02T14:45:00-04:00,23168,23200.25,23163,23187.75,0,0,0,0,0,0,0,NaN,23200.25,23163,23187.75
2025-09-02T14:50:00-04:00,23187.25,23232.75,23186.25,23213,0,0,0,0,0,0,0,NaN,23232.75,23186.25,23213
2025-09-02T14:55:00-04:00,23213,23214.75,23184.75,23189,0,0,0,0,0,0,0,NaN,23214.75,23184.75,23189
