time,open,high,low,close,source_file
2025-07-09 11:30:00-04:00,22980.25,22985.0,22966.5,22975.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 11:35:00-04:00,22975.25,22981.75,22939.5,22971.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 11:40:00-04:00,22971.75,22984.0,22969.75,22982.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 11:45:00-04:00,22982.75,22988.75,22976.25,22978.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 11:50:00-04:00,22977.25,22979.5,22943.5,22947.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 11:55:00-04:00,22946.75,22961.25,22943.0,22948.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:00:00-04:00,22948.25,22972.5,22945.75,22964.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:05:00-04:00,22964.0,22968.0,22948.75,22957.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:10:00-04:00,22957.5,22962.75,22937.0,22954.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:15:00-04:00,22953.5,22976.0,22952.25,22972.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:20:00-04:00,22972.5,22974.75,22956.25,22964.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:25:00-04:00,22965.25,22977.75,22958.75,22973.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:30:00-04:00,22972.75,22986.25,22972.5,22980.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:35:00-04:00,22980.5,22989.5,22974.75,22975.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:40:00-04:00,22975.0,22993.75,22972.5,22988.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:45:00-04:00,22988.25,23000.75,22986.5,22997.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:50:00-04:00,22998.25,23008.5,22995.0,23004.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 12:55:00-04:00,23004.5,23005.75,22981.5,22983.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:00:00-04:00,22982.75,22987.0,22960.0,22975.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:05:00-04:00,22976.0,22996.0,22973.5,22989.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:10:00-04:00,22989.5,22995.0,22973.5,22974.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:15:00-04:00,22973.5,22994.25,22969.25,22988.5,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:20:00-04:00,22988.5,22988.5,22973.0,22984.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:25:00-04:00,22984.25,22994.25,22972.0,22980.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:30:00-04:00,22981.5,22990.0,22975.5,22988.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:35:00-04:00,22988.0,23000.5,22988.0,22996.0,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:40:00-04:00,22996.0,22999.25,22979.75,22981.75,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:45:00-04:00,22981.5,22986.25,22966.75,22981.25,"CME_MINI_NQ1!, 5_bda03.csv"
2025-07-09 13:50:00-04:00,22980.5,22998.0,22965.0,22972.5,"CME_MINI_NQ1!, 5_bda03.csv"
